ppt_id,rt,logRT,idx,idx_c
fgqvegp4hdy4jpo,1824,7.508787170634276,12,1
fgqvegp4hdy4jpo,974,6.881411303642535,13,2
fgqvegp4hdy4jpo,1205,7.094234845924755,14,3
fgqvegp4hdy4jpo,1127,7.027314514039777,15,4
fgqvegp4hdy4jpo,3904,8.269756947532983,16,5
fgqvegp4hdy4jpo,1096,6.999422467507961,17,6
fgqvegp4hdy4jpo,1611,7.384610383176974,18,7
fgqvegp4hdy4jpo,1227,7.112327444710911,19,8
fgqvegp4hdy4jpo,1463,7.288244401020124,20,9
fgqvegp4hdy4jpo,1156,7.052721049232323,21,10
fgfup05k2am850n,4820,8.480529207044645,1,-10
fgfup05k2am850n,4239,8.352082671352637,2,-9
fgfup05k2am850n,4918,8.500657222776137,3,-8
fgfup05k2am850n,2570,7.851661177889265,4,-7
fgfup05k2am850n,4814,8.479283618343016,5,-6
fgfup05k2am850n,2013,7.607381425639791,6,-5
fgfup05k2am850n,3199,8.070593539949519,7,-4
fgfup05k2am850n,4536,8.419800845407588,8,-3
fgfup05k2am850n,1903,7.551186867296149,9,-2
fgfup05k2am850n,3317,8.106816038947052,10,-1
fgfup05k2am850n,4192,8.340933226000878,11,0
fgfup05k2am850n,2629,7.874358824729881,12,1
fgfup05k2am850n,1484,7.302496423727326,13,2
fgfup05k2am850n,1584,7.367708572374371,14,3
fgfup05k2am850n,1334,7.195937226475569,15,4
fgfup05k2am850n,3062,8.026823576217629,16,5
fgfup05k2am850n,1275,7.150701457592526,17,6
fgfup05k2am850n,1756,7.470793774195062,18,7
fgfup05k2am850n,1665,7.417580402414544,19,8
fgfup05k2am850n,1154,7.050989447068045,20,9
fgfup05k2am850n,2002,7.601901959875166,21,10
94e0cqov50ry0gm,1301,7.170888478512505,1,-10
94e0cqov50ry0gm,1168,7.0630481633881725,2,-9
94e0cqov50ry0gm,1131,7.030857476116121,3,-8
94e0cqov50ry0gm,1521,7.327123292259293,4,-7
94e0cqov50ry0gm,1297,7.167809184316444,5,-6
94e0cqov50ry0gm,1441,7.273092595999522,6,-5
94e0cqov50ry0gm,627,6.440946540632921,7,-4
94e0cqov50ry0gm,1691,7.43307534889858,8,-3
94e0cqov50ry0gm,1608,7.382746449738912,9,-2
94e0cqov50ry0gm,1103,7.005789019253503,10,-1
94e0cqov50ry0gm,1126,7.026426808699636,11,0
94e0cqov50ry0gm,1334,7.195937226475569,12,1
94e0cqov50ry0gm,1321,7.186144304522325,13,2
94e0cqov50ry0gm,1168,7.0630481633881725,14,3
94e0cqov50ry0gm,1643,7.404279118037268,15,4
94e0cqov50ry0gm,967,6.874198495453294,16,5
94e0cqov50ry0gm,1092,6.9957661563048505,17,6
94e0cqov50ry0gm,902,6.804614520062624,18,7
94e0cqov50ry0gm,1019,6.926577033222725,19,8
94e0cqov50ry0gm,837,6.729824070489475,20,9
94e0cqov50ry0gm,1039,6.946013991099227,21,10
twbwc0bpksm5zmc,964,6.871091294610546,1,-10
twbwc0bpksm5zmc,1011,6.918695219020472,2,-9
twbwc0bpksm5zmc,1849,7.522400231387125,3,-8
twbwc0bpksm5zmc,722,6.582025138892826,4,-7
twbwc0bpksm5zmc,811,6.698268054115413,5,-6
twbwc0bpksm5zmc,781,6.660575149839686,6,-5
twbwc0bpksm5zmc,824,6.714170529909472,7,-4
twbwc0bpksm5zmc,2376,7.773173680482536,8,-3
twbwc0bpksm5zmc,744,6.612041034833092,9,-2
twbwc0bpksm5zmc,1436,7.269616749608169,10,-1
twbwc0bpksm5zmc,769,6.645090969505644,11,0
twbwc0bpksm5zmc,2365,7.768533300926033,12,1
twbwc0bpksm5zmc,1230,7.114769448366463,13,2
twbwc0bpksm5zmc,805,6.690842277418564,14,3
twbwc0bpksm5zmc,769,6.645090969505644,15,4
twbwc0bpksm5zmc,1248,7.129297548929373,16,5
twbwc0bpksm5zmc,703,6.555356891810665,17,6
twbwc0bpksm5zmc,962,6.8690144506657065,18,7
twbwc0bpksm5zmc,620,6.429719478039138,19,8
twbwc0bpksm5zmc,987,6.894670039433482,20,9
twbwc0bpksm5zmc,892,6.79346613258001,21,10
daa5z5n94jkjvhq,967,6.874198495453294,1,-10
daa5z5n94jkjvhq,812,6.699500340161678,2,-9
daa5z5n94jkjvhq,499,6.212606095751519,3,-8
daa5z5n94jkjvhq,669,6.505784060128229,4,-7
daa5z5n94jkjvhq,1205,7.094234845924755,5,-6
daa5z5n94jkjvhq,899,6.80128303447162,6,-5
daa5z5n94jkjvhq,842,6.7357800142423265,7,-4
daa5z5n94jkjvhq,841,6.734591659972948,8,-3
daa5z5n94jkjvhq,536,6.284134161070802,9,-2
daa5z5n94jkjvhq,733,6.597145701886651,10,-1
daa5z5n94jkjvhq,875,6.774223886357614,11,0
daa5z5n94jkjvhq,739,6.6052979209482015,12,1
daa5z5n94jkjvhq,690,6.536691597591305,13,2
daa5z5n94jkjvhq,863,6.760414691083428,14,3
daa5z5n94jkjvhq,839,6.732210706467206,15,4
daa5z5n94jkjvhq,631,6.447305862541213,16,5
daa5z5n94jkjvhq,433,6.07073772800249,17,6
daa5z5n94jkjvhq,799,6.683360945766275,18,7
daa5z5n94jkjvhq,455,6.12029741895095,19,8
daa5z5n94jkjvhq,483,6.180016653652572,20,9
daa5z5n94jkjvhq,1037,6.9440872082295275,21,10
x5no39v59euw2mm,6550,8.787220328629298,1,-10
x5no39v59euw2mm,2830,7.948031990637284,2,-9
x5no39v59euw2mm,2279,7.731492029245684,3,-8
x5no39v59euw2mm,2638,7.87777633327726,4,-7
x5no39v59euw2mm,1338,7.198931240688173,5,-6
x5no39v59euw2mm,1679,7.425953657077541,6,-5
x5no39v59euw2mm,2039,7.620214770574455,7,-4
x5no39v59euw2mm,1619,7.389563953677635,8,-3
x5no39v59euw2mm,3339,8.113426639943654,9,-2
x5no39v59euw2mm,1309,7.1770187659099,10,-1
x5no39v59euw2mm,1069,6.974478911025045,11,0
x5no39v59euw2mm,1729,7.455298485683291,12,1
x5no39v59euw2mm,1799,7.4949862339505335,13,2
x5no39v59euw2mm,1389,7.236339342754344,14,3
x5no39v59euw2mm,2119,7.6586995582682995,15,4
x5no39v59euw2mm,1342,7.201916317531627,16,5
x5no39v59euw2mm,2369,7.7702232041587855,17,6
x5no39v59euw2mm,1592,7.3727463664043285,18,7
x5no39v59euw2mm,1753,7.469083884921234,19,8
x5no39v59euw2mm,1048,6.954638864880987,20,9
x5no39v59euw2mm,1563,7.354362330421477,21,10
d0okld4mx0cqnhs,1463,7.288244401020124,1,-10
d0okld4mx0cqnhs,3020,8.013012110368916,2,-9
d0okld4mx0cqnhs,1049,6.955592608396297,3,-8
d0okld4mx0cqnhs,1386,7.234177179749849,4,-7
d0okld4mx0cqnhs,2162,7.6787889981991535,5,-6
d0okld4mx0cqnhs,870,6.76849321164863,6,-5
d0okld4mx0cqnhs,1383,7.232010331664759,7,-4
d0okld4mx0cqnhs,1156,7.052721049232323,8,-3
d0okld4mx0cqnhs,2438,7.798933310041217,9,-2
d0okld4mx0cqnhs,844,6.7381524945959574,10,-1
d0okld4mx0cqnhs,1252,7.132497551660044,11,0
d0okld4mx0cqnhs,1183,7.075808863978387,12,1
